segment_key,channel_group,customer_count,repeat_loss_rate,avg_order_value,avg_units_per_order,avg_cac,promo_redemption_rate,margin_rate
seasonal_first_time|prestige_loyalist|single_sku_staple,mass,956,0.1,26.43,1.58,8.98,0.23,0.38
seasonal_first_time|prestige_loyalist|multi_sku_builder,mass,982,0.094,34.73,2.6,9.58,0.22,0.41
seasonal_first_time|prestige_loyalist|value_bundle_buyer,mass,1009,0.107,32.47,2.32,8.91,0.24,0.4
seasonal_first_time|prestige_loyalist|premium_add_on,mass,906,0.095,36.82,2.31,9.96,0.23,0.44
seasonal_first_time|prestige_loyalist|trial_size_sampler,mass,883,0.111,27.75,2.0,9.12,0.22,0.38
seasonal_first_time|value_seeker|single_sku_staple,mass,907,0.164,23.76,1.69,9.17,0.26,0.38
seasonal_first_time|value_seeker|multi_sku_builder,mass,978,0.155,30.47,2.52,9.15,0.3,0.41
seasonal_first_time|value_seeker|value_bundle_buyer,mass,922,0.146,29.27,2.34,8.81,0.24,0.41
seasonal_first_time|value_seeker|premium_add_on,mass,854,0.16,32.24,2.17,10.22,0.29,0.41
seasonal_first_time|value_seeker|trial_size_sampler,mass,856,0.145,25.35,1.96,9.29,0.25,0.37
seasonal_first_time|deal_hunter|single_sku_staple,mass,820,0.201,22.02,1.51,10.16,0.35,0.37
seasonal_first_time|deal_hunter|multi_sku_builder,mass,829,0.212,30.75,2.61,9.89,0.35,0.44
seasonal_first_time|deal_hunter|value_bundle_buyer,mass,818,0.207,29.14,2.25,10.2,0.33,0.37
seasonal_first_time|deal_hunter|premium_add_on,mass,840,0.212,32.33,2.35,9.29,0.33,0.43
seasonal_first_time|deal_hunter|trial_size_sampler,mass,720,0.194,24.16,1.99,9.65,0.32,0.38
seasonal_first_time|occasional_shop|single_sku_staple,mass,812,0.171,24.61,1.65,9.41,0.29,0.37
seasonal_first_time|occasional_shop|multi_sku_builder,mass,895,0.164,31.46,2.39,9.67,0.29,0.41
seasonal_first_time|occasional_shop|value_bundle_buyer,mass,863,0.16,29.95,2.22,9.67,0.3,0.39
seasonal_first_time|occasional_shop|premium_add_on,mass,829,0.161,32.76,2.39,8.9,0.27,0.42
seasonal_first_time|occasional_shop|trial_size_sampler,mass,774,0.172,24.99,1.91,9.17,0.28,0.38
seasonal_first_time|channel_switcher|single_sku_staple,mass,880,0.16,22.81,1.73,9.26,0.3,0.39
seasonal_first_time|channel_switcher|multi_sku_builder,mass,850,0.166,31.13,2.38,10.28,0.32,0.4
seasonal_first_time|channel_switcher|value_bundle_buyer,mass,903,0.165,30.44,2.38,8.85,0.29,0.38
seasonal_first_time|channel_switcher|premium_add_on,mass,843,0.175,33.82,2.26,9.38,0.28,0.42
seasonal_first_time|channel_switcher|trial_size_sampler,mass,772,0.158,26.1,2.0,9.33,0.26,0.36
routine_refill|prestige_loyalist|single_sku_staple,mass,1030,0.078,27.62,1.6,7.45,0.17,0.39
routine_refill|prestige_loyalist|multi_sku_builder,mass,1114,0.074,36.79,2.57,7.96,0.18,0.44
routine_refill|prestige_loyalist|value_bundle_buyer,mass,1120,0.067,33.75,2.23,8.44,0.13,0.38
routine_refill|prestige_loyalist|premium_add_on,mass,1003,0.071,37.87,2.4,7.67,0.16,0.43
routine_refill|prestige_loyalist|trial_size_sampler,mass,1003,0.06,30.32,1.88,8.21,0.18,0.37
routine_refill|value_seeker|single_sku_staple,mass,1004,0.112,25.35,1.62,8.17,0.24,0.4
routine_refill|value_seeker|multi_sku_builder,mass,1063,0.116,33.46,2.55,8.42,0.21,0.43
routine_refill|value_seeker|value_bundle_buyer,mass,1082,0.122,30.64,2.29,8.55,0.22,0.38
routine_refill|value_seeker|premium_add_on,mass,1011,0.116,34.33,2.3,8.41,0.21,0.43
routine_refill|value_seeker|trial_size_sampler,mass,969,0.118,27.11,1.91,7.74,0.2,0.39
routine_refill|deal_hunter|single_sku_staple,mass,978,0.175,24.84,1.56,8.44,0.26,0.38
routine_refill|deal_hunter|multi_sku_builder,mass,992,0.177,32.44,2.45,8.13,0.26,0.41
routine_refill|deal_hunter|value_bundle_buyer,mass,1008,0.175,29.71,2.25,8.53,0.24,0.41
