week_start,brand_id,brand_name,market_id,market_name,channel_id,channel_name,orders_proxy,menu_units,net_sales,avg_check,avg_realized_price,contribution_margin,contribution_margin_pct,promo_mix_pct,value_mix_pct,premium_mix_pct,digital_mix_pct
2025-01-06,qsr,QSR,atlanta_ga,Atlanta,carryout,Carryout,341,451,5826.89,17.1,12.92,3208.73,0.5507,0.0,13.1,46.89,0.0
2025-01-06,qsr,QSR,atlanta_ga,Atlanta,delivery,Delivery,496,776,10708.05,21.6,13.8,3883.78,0.3627,0.0,12.76,46.24,100.0
2025-01-06,qsr,QSR,atlanta_ga,Atlanta,dine_in,Dine-In,97,155,1977.6,20.31,12.76,1117.2,0.5649,0.0,12.72,45.89,0.0
2025-01-06,qsr,QSR,atlanta_ga,Atlanta,pickup_app,Pickup / App,198,285,3623.35,18.33,12.71,1978.22,0.546,0.0,12.78,46.37,100.0
2025-01-06,qsr,QSR,charlotte_nc,Charlotte,carryout,Carryout,347,466,5982.95,17.24,12.84,3301.86,0.5519,0.0,13.2,46.53,0.0
2025-01-06,qsr,QSR,charlotte_nc,Charlotte,delivery,Delivery,539,832,11398.89,21.16,13.7,4136.03,0.3628,0.0,12.57,45.75,100.0
2025-01-06,qsr,QSR,charlotte_nc,Charlotte,dine_in,Dine-In,99,160,2028.29,20.4,12.68,1146.73,0.5654,0.0,12.73,44.6,0.0
2025-01-06,qsr,QSR,charlotte_nc,Charlotte,pickup_app,Pickup / App,201,293,3701.34,18.38,12.63,2024.93,0.5471,0.0,12.83,45.21,100.0
2025-01-06,qsr,QSR,chicago_il,Chicago,carryout,Carryout,304,417,5601.24,18.4,13.43,3096.21,0.5528,0.0,14.26,44.76,0.0
2025-01-06,qsr,QSR,chicago_il,Chicago,delivery,Delivery,485,729,10275.08,21.2,14.09,3750.9,0.365,0.0,14.61,42.53,100.0
2025-01-06,qsr,QSR,chicago_il,Chicago,dine_in,Dine-In,86,142,1885.62,21.9,13.28,1066.23,0.5655,0.0,14.22,43.84,0.0
2025-01-06,qsr,QSR,chicago_il,Chicago,pickup_app,Pickup / App,184,262,3465.32,18.87,13.23,1897.41,0.5475,0.0,13.49,44.42,100.0
2025-01-06,qsr,QSR,dallas_tx,Dallas-Fort Worth,carryout,Carryout,373,523,6836.12,18.31,13.07,3772.91,0.5519,0.0,12.51,45.75,0.0
2025-01-06,qsr,QSR,dallas_tx,Dallas-Fort Worth,delivery,Delivery,589,895,12665.77,21.5,14.15,4581.44,0.3617,0.0,11.84,47.24,100.0
2025-01-06,qsr,QSR,dallas_tx,Dallas-Fort Worth,dine_in,Dine-In,112,183,2388.76,21.24,13.05,1344.51,0.5628,0.0,12.78,45.89,0.0
2025-01-06,qsr,QSR,dallas_tx,Dallas-Fort Worth,pickup_app,Pickup / App,228,335,4347.73,19.08,12.98,2373.39,0.5459,0.0,12.49,47.89,100.0
