offer_id,week_start,year_week,brand_id,market_id,offer_type,offer_name,channel_scope,avg_discount_pct,participating_item_count,participating_store_count,promo_units,promo_sales,headline_items,notes
camp_0001,2025-01-13,2025-01-13,pizzahut,los_angeles_ca,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0002,2025-01-13,2025-01-13,pizzahut,dallas_tx,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0003,2025-01-13,2025-01-13,pizzahut,chicago_il,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0004,2025-01-13,2025-01-13,pizzahut,atlanta_ga,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0005,2025-01-13,2025-01-13,pizzahut,new_york_ny,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0006,2025-01-13,2025-01-13,pizzahut,miami_fl,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0007,2025-01-13,2025-01-13,pizzahut,phoenix_az,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0008,2025-01-13,2025-01-13,pizzahut,denver_co,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0009,2025-01-13,2025-01-13,pizzahut,seattle_wa,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0010,2025-01-13,2025-01-13,pizzahut,nashville_tn,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0011,2025-01-13,2025-01-13,pizzahut,minneapolis_mn,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0012,2025-01-13,2025-01-13,pizzahut,charlotte_nc,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0013,2025-02-03,2025-02-03,pizzahut,los_angeles_ca,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0014,2025-02-03,2025-02-03,pizzahut,dallas_tx,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0015,2025-02-03,2025-02-03,pizzahut,chicago_il,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0016,2025-02-03,2025-02-03,pizzahut,atlanta_ga,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0017,2025-02-03,2025-02-03,pizzahut,new_york_ny,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0018,2025-02-03,2025-02-03,pizzahut,miami_fl,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0019,2025-02-03,2025-02-03,pizzahut,phoenix_az,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0020,2025-02-03,2025-02-03,pizzahut,denver_co,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0021,2025-02-03,2025-02-03,pizzahut,seattle_wa,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0022,2025-02-03,2025-02-03,pizzahut,nashville_tn,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0023,2025-02-03,2025-02-03,pizzahut,minneapolis_mn,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0024,2025-02-03,2025-02-03,pizzahut,charlotte_nc,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0025,2025-02-24,2025-02-24,pizzahut,los_angeles_ca,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0026,2025-02-24,2025-02-24,pizzahut,dallas_tx,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0027,2025-02-24,2025-02-24,pizzahut,chicago_il,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0028,2025-02-24,2025-02-24,pizzahut,atlanta_ga,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0029,2025-02-24,2025-02-24,pizzahut,new_york_ny,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0030,2025-02-24,2025-02-24,pizzahut,miami_fl,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0031,2025-02-24,2025-02-24,pizzahut,phoenix_az,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0032,2025-02-24,2025-02-24,pizzahut,denver_co,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0033,2025-02-24,2025-02-24,pizzahut,seattle_wa,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
camp_0034,2025-02-24,2025-02-24,pizzahut,nashville_tn,family_bundle,Big Dinner Box Game Day Push,"delivery,carryout,pickup_app",10.5,4,1,,,Big Dinner Box | Breadsticks | Large One-Topping Pizza | Medium One-Topping Pizza,Bundle-led demand pulse aligned to major football and sports-viewing windows.
