week_start,year_week,brand_id,market_id,store_id,channel,channel_name,price_zone,income_band_proxy,digital_flag,avg_items_per_check_proxy,transaction_count_proxy,avg_check_proxy,menu_units,net_sales,contribution_margin,contribution_margin_pct,avg_net_price,promo_mix_pct,value_mix_pct,premium_mix_pct,unique_items_sold,seasonal_factor,macro_factor,holiday_bump
2025-01-06,2025-01-06,qsr,atlanta_ga,qsr_atlanta_ga,carryout,Carryout,modeled,mixed,false,1.35,341,17.1,451,5826.89,3208.73,0.5507,12.92,0.0,13.1,46.89,,1,1,0
2025-01-06,2025-01-06,qsr,atlanta_ga,qsr_atlanta_ga,delivery,Delivery,modeled,mixed,true,1.52,496,21.6,776,10708.05,3883.78,0.3627,13.8,0.0,12.76,46.24,,1,1,0
2025-01-06,2025-01-06,qsr,atlanta_ga,qsr_atlanta_ga,dine_in,Dine-In,modeled,mixed,false,1.6,97,20.31,155,1977.6,1117.2,0.5649,12.76,0.0,12.72,45.89,,1,1,0
2025-01-06,2025-01-06,qsr,atlanta_ga,qsr_atlanta_ga,pickup_app,Pickup / App,modeled,mixed,true,1.42,198,18.33,285,3623.35,1978.22,0.546,12.71,0.0,12.78,46.37,,1,1,0
2025-01-06,2025-01-06,qsr,charlotte_nc,qsr_charlotte_nc,carryout,Carryout,modeled,mixed,false,1.35,347,17.24,466,5982.95,3301.86,0.5519,12.84,0.0,13.2,46.53,,1,1,0
2025-01-06,2025-01-06,qsr,charlotte_nc,qsr_charlotte_nc,delivery,Delivery,modeled,mixed,true,1.52,539,21.16,832,11398.89,4136.03,0.3628,13.7,0.0,12.57,45.75,,1,1,0
2025-01-06,2025-01-06,qsr,charlotte_nc,qsr_charlotte_nc,dine_in,Dine-In,modeled,mixed,false,1.6,99,20.4,160,2028.29,1146.73,0.5654,12.68,0.0,12.73,44.6,,1,1,0
2025-01-06,2025-01-06,qsr,charlotte_nc,qsr_charlotte_nc,pickup_app,Pickup / App,modeled,mixed,true,1.42,201,18.38,293,3701.34,2024.93,0.5471,12.63,0.0,12.83,45.21,,1,1,0
2025-01-06,2025-01-06,qsr,chicago_il,qsr_chicago_il,carryout,Carryout,modeled,mixed,false,1.35,304,18.4,417,5601.24,3096.21,0.5528,13.43,0.0,14.26,44.76,,1,1,0
2025-01-06,2025-01-06,qsr,chicago_il,qsr_chicago_il,delivery,Delivery,modeled,mixed,true,1.52,485,21.2,729,10275.08,3750.9,0.365,14.09,0.0,14.61,42.53,,1,1,0
2025-01-06,2025-01-06,qsr,chicago_il,qsr_chicago_il,dine_in,Dine-In,modeled,mixed,false,1.6,86,21.9,142,1885.62,1066.23,0.5655,13.28,0.0,14.22,43.84,,1,1,0
2025-01-06,2025-01-06,qsr,chicago_il,qsr_chicago_il,pickup_app,Pickup / App,modeled,mixed,true,1.42,184,18.87,262,3465.32,1897.41,0.5475,13.23,0.0,13.49,44.42,,1,1,0
2025-01-06,2025-01-06,qsr,dallas_tx,qsr_dallas_tx,carryout,Carryout,modeled,mixed,false,1.35,373,18.31,523,6836.12,3772.91,0.5519,13.07,0.0,12.51,45.75,,1,1,0
2025-01-06,2025-01-06,qsr,dallas_tx,qsr_dallas_tx,delivery,Delivery,modeled,mixed,true,1.52,589,21.5,895,12665.77,4581.44,0.3617,14.15,0.0,11.84,47.24,,1,1,0
2025-01-06,2025-01-06,qsr,dallas_tx,qsr_dallas_tx,dine_in,Dine-In,modeled,mixed,false,1.6,112,21.24,183,2388.76,1344.51,0.5628,13.05,0.0,12.78,45.89,,1,1,0
2025-01-06,2025-01-06,qsr,dallas_tx,qsr_dallas_tx,pickup_app,Pickup / App,modeled,mixed,true,1.42,228,19.08,335,4347.73,2373.39,0.5459,12.98,0.0,12.49,47.89,,1,1,0
2025-01-06,2025-01-06,qsr,denver_co,qsr_denver_co,carryout,Carryout,modeled,mixed,false,1.35,419,18.35,566,7692.85,4256.2,0.5533,13.59,0.0,13.69,44.49,,1,1,0
2025-01-06,2025-01-06,qsr,denver_co,qsr_denver_co,delivery,Delivery,modeled,mixed,true,1.52,663,22.21,1015,14727.95,5353.87,0.3635,14.51,0.0,13.61,44.3,,1,1,0
2025-01-06,2025-01-06,qsr,denver_co,qsr_denver_co,dine_in,Dine-In,modeled,mixed,false,1.6,118,21.77,192,2574.2,1453.47,0.5646,13.41,0.0,14.43,43.29,,1,1,0
2025-01-06,2025-01-06,qsr,denver_co,qsr_denver_co,pickup_app,Pickup / App,modeled,mixed,true,1.42,257,18.63,363,4786.94,2627.45,0.5489,13.19,0.0,13.99,42.95,,1,1,0
2025-01-06,2025-01-06,qsr,los_angeles_ca,qsr_los_angeles_ca,carryout,Carryout,modeled,mixed,false,1.35,404,20.02,543,8093.07,4485.93,0.5543,14.9,0.0,14.35,43.56,,1,1,0
2025-01-06,2025-01-06,qsr,los_angeles_ca,qsr_los_angeles_ca,delivery,Delivery,modeled,mixed,true,1.52,613,24.46,958,14985.02,5473.49,0.3653,15.64,0.0,15.41,41.27,,1,1,0
2025-01-06,2025-01-06,qsr,los_angeles_ca,qsr_los_angeles_ca,dine_in,Dine-In,modeled,mixed,false,1.6,111,23.79,178,2641.46,1493.12,0.5653,14.84,0.0,14.99,43.15,,1,1,0
2025-01-06,2025-01-06,qsr,los_angeles_ca,qsr_los_angeles_ca,pickup_app,Pickup / App,modeled,mixed,true,1.42,241,20.42,336,4926.14,2700.65,0.5482,14.66,0.0,14.59,43.03,,1,1,0
2025-01-06,2025-01-06,qsr,miami_fl,qsr_miami_fl,carryout,Carryout,modeled,mixed,false,1.35,260,18.65,363,4843.66,2689.1,0.5552,13.34,0.0,14.77,41.37,,1,1,0
2025-01-06,2025-01-06,qsr,miami_fl,qsr_miami_fl,delivery,Delivery,modeled,mixed,true,1.52,424,22.13,656,9391.6,3419.78,0.3641,14.32,0.0,15.27,42.75,,1,1,0
