week_start,year_week,brand_id,market_id,store_id,channel,channel_name,price_zone,income_band_proxy,digital_flag,avg_items_per_check_proxy,transaction_count_proxy,avg_check_proxy,menu_units,net_sales,contribution_margin,contribution_margin_pct,avg_net_price,promo_mix_pct,value_mix_pct,premium_mix_pct,unique_items_sold,seasonal_factor,macro_factor,holiday_bump
2025-01-06,2025-01-06,tacobell,atlanta_ga,tacobell_atlanta_ga,carryout,Carryout,modeled,mixed,false,2.3,104,9.53,244,991.27,591.06,0.5963,4.06,0.0,38.19,28.98,,1,1,0
2025-01-06,2025-01-06,tacobell,atlanta_ga,tacobell_atlanta_ga,delivery,Delivery,modeled,mixed,true,3.0,117,13.54,363,1580.1,681.02,0.431,4.35,0.0,38.87,28.46,,1,1,0
2025-01-06,2025-01-06,tacobell,atlanta_ga,tacobell_atlanta_ga,dine_in,Dine-In,modeled,mixed,false,2.1,132,8.52,275,1124.58,682.72,0.6071,4.09,0.0,38.34,29.76,,1,1,0
2025-01-06,2025-01-06,tacobell,atlanta_ga,tacobell_atlanta_ga,drive_thru,Drive-Thru,modeled,mixed,false,2.8,470,11.3,1307,5314.9,3171.65,0.5967,4.07,0.0,37.86,29.46,,1,1,0
2025-01-06,2025-01-06,tacobell,atlanta_ga,tacobell_atlanta_ga,pickup_app,Pickup / App,modeled,mixed,true,2.7,218,10.78,582,2344.22,1379.1,0.5883,4.03,0.0,38.95,29.22,,1,1,0
2025-01-06,2025-01-06,tacobell,charlotte_nc,tacobell_charlotte_nc,carryout,Carryout,modeled,mixed,false,2.3,81,9.41,185,762.06,452.4,0.5937,4.12,0.0,38.11,29.74,,1,1,0
2025-01-06,2025-01-06,tacobell,charlotte_nc,tacobell_charlotte_nc,delivery,Delivery,modeled,mixed,true,3.0,89,13.11,265,1171.28,504.61,0.4308,4.42,0.0,36.97,30.38,,1,1,0
2025-01-06,2025-01-06,tacobell,charlotte_nc,tacobell_charlotte_nc,dine_in,Dine-In,modeled,mixed,false,2.1,96,8.91,208,857.09,521.67,0.6087,4.12,0.0,36.75,29.88,,1,1,0
2025-01-06,2025-01-06,tacobell,charlotte_nc,tacobell_charlotte_nc,drive_thru,Drive-Thru,modeled,mixed,false,2.8,358,11.43,986,4096.55,2435.92,0.5946,4.15,0.0,36.88,30.75,,1,1,0
2025-01-06,2025-01-06,tacobell,charlotte_nc,tacobell_charlotte_nc,pickup_app,Pickup / App,modeled,mixed,true,2.7,162,10.78,430,1751.14,1034.22,0.5906,4.07,0.0,36.2,29.85,,1,1,0
2025-01-06,2025-01-06,tacobell,chicago_il,tacobell_chicago_il,carryout,Carryout,modeled,mixed,false,2.3,114,10.23,267,1169.09,694.25,0.5938,4.38,0.0,38.68,29.03,,1,1,0
2025-01-06,2025-01-06,tacobell,chicago_il,tacobell_chicago_il,delivery,Delivery,modeled,mixed,true,3.0,133,13.79,393,1840.22,789.3,0.4289,4.68,0.0,38.33,30.24,,1,1,0
2025-01-06,2025-01-06,tacobell,chicago_il,tacobell_chicago_il,dine_in,Dine-In,modeled,mixed,false,2.1,139,9.38,296,1307.56,790.64,0.6047,4.42,0.0,37.99,30.5,,1,1,0
2025-01-06,2025-01-06,tacobell,chicago_il,tacobell_chicago_il,drive_thru,Drive-Thru,modeled,mixed,false,2.8,469,12.5,1340,5866.51,3492.62,0.5953,4.38,0.0,36.98,29.91,,1,1,0
2025-01-06,2025-01-06,tacobell,chicago_il,tacobell_chicago_il,pickup_app,Pickup / App,modeled,mixed,true,2.7,225,11.94,629,2690.93,1589.73,0.5908,4.28,0.0,36.62,30.11,,1,1,0
2025-01-06,2025-01-06,tacobell,dallas_tx,tacobell_dallas_tx,carryout,Carryout,modeled,mixed,false,2.3,121,9.51,279,1154.69,688.63,0.5964,4.14,0.0,37.38,29.44,,1,1,0
2025-01-06,2025-01-06,tacobell,dallas_tx,tacobell_dallas_tx,delivery,Delivery,modeled,mixed,true,3.0,134,13.12,404,1755.3,758.32,0.432,4.34,0.0,38.68,29.54,,1,1,0
2025-01-06,2025-01-06,tacobell,dallas_tx,tacobell_dallas_tx,dine_in,Dine-In,modeled,mixed,false,2.1,148,8.63,306,1273.41,772.36,0.6065,4.16,0.0,38.29,29.21,,1,1,0
2025-01-06,2025-01-06,tacobell,dallas_tx,tacobell_dallas_tx,drive_thru,Drive-Thru,modeled,mixed,false,2.8,505,11.74,1431,5928.81,3534.75,0.5962,4.14,0.0,36.79,30.35,,1,1,0
2025-01-06,2025-01-06,tacobell,dallas_tx,tacobell_dallas_tx,pickup_app,Pickup / App,modeled,mixed,true,2.7,244,10.82,658,2635.24,1555.25,0.5902,4.0,0.0,39.0,29.15,,1,1,0
2025-01-06,2025-01-06,tacobell,denver_co,tacobell_denver_co,carryout,Carryout,modeled,mixed,false,2.3,124,10.07,279,1245.37,738.75,0.5932,4.46,0.0,37.94,29.56,,1,1,0
2025-01-06,2025-01-06,tacobell,denver_co,tacobell_denver_co,delivery,Delivery,modeled,mixed,true,3.0,132,14.16,399,1875.55,807.56,0.4306,4.7,0.0,37.68,30.43,,1,1,0
2025-01-06,2025-01-06,tacobell,denver_co,tacobell_denver_co,dine_in,Dine-In,modeled,mixed,false,2.1,143,9.52,305,1359.15,824.3,0.6065,4.46,0.0,36.51,30.48,,1,1,0
2025-01-06,2025-01-06,tacobell,denver_co,tacobell_denver_co,drive_thru,Drive-Thru,modeled,mixed,false,2.8,496,12.94,1443,6421.89,3809.59,0.5932,4.45,0.0,37.16,30.28,,1,1,0
2025-01-06,2025-01-06,tacobell,denver_co,tacobell_denver_co,pickup_app,Pickup / App,modeled,mixed,true,2.7,234,12.04,654,2815.25,1661.98,0.5903,4.3,0.0,38.45,28.41,,1,1,0
2025-01-06,2025-01-06,tacobell,los_angeles_ca,tacobell_los_angeles_ca,carryout,Carryout,modeled,mixed,false,2.3,127,11.17,296,1423.29,848.77,0.5963,4.81,0.0,38.41,29.09,,1,1,0
2025-01-06,2025-01-06,tacobell,los_angeles_ca,tacobell_los_angeles_ca,delivery,Delivery,modeled,mixed,true,3.0,143,15.72,436,2252.16,970.76,0.431,5.17,0.0,38.95,28.84,,1,1,0
2025-01-06,2025-01-06,tacobell,los_angeles_ca,tacobell_los_angeles_ca,dine_in,Dine-In,modeled,mixed,false,2.1,157,10.11,327,1585.13,964.03,0.6082,4.85,0.0,39.3,28.18,,1,1,0
2025-01-06,2025-01-06,tacobell,los_angeles_ca,tacobell_los_angeles_ca,drive_thru,Drive-Thru,modeled,mixed,false,2.8,570,13.36,1577,7619.79,4550.38,0.5972,4.83,0.0,37.86,30.07,,1,1,0
2025-01-06,2025-01-06,tacobell,los_angeles_ca,tacobell_los_angeles_ca,pickup_app,Pickup / App,modeled,mixed,true,2.7,248,13.34,692,3308.86,1953.2,0.5903,4.78,0.0,38.42,29.05,,1,1,0
2025-01-06,2025-01-06,tacobell,miami_fl,tacobell_miami_fl,carryout,Carryout,modeled,mixed,false,2.3,111,10.02,258,1113.32,664.26,0.5966,4.32,0.0,39.19,28.68,,1,1,0
2025-01-06,2025-01-06,tacobell,miami_fl,tacobell_miami_fl,delivery,Delivery,modeled,mixed,true,3.0,126,14.07,376,1777.9,765.64,0.4306,4.73,0.0,37.36,30.93,,1,1,0
2025-01-06,2025-01-06,tacobell,miami_fl,tacobell_miami_fl,dine_in,Dine-In,modeled,mixed,false,2.1,134,9.45,290,1269.96,773.16,0.6088,4.38,0.0,37.93,28.75,,1,1,0
2025-01-06,2025-01-06,tacobell,miami_fl,tacobell_miami_fl,drive_thru,Drive-Thru,modeled,mixed,false,2.8,479,12.12,1335,5811.53,3476.83,0.5983,4.35,0.0,38.09,28.41,,1,1,0
2025-01-06,2025-01-06,tacobell,miami_fl,tacobell_miami_fl,pickup_app,Pickup / App,modeled,mixed,true,2.7,219,11.88,601,2605.53,1536.79,0.5898,4.34,0.0,37.78,30.75,,1,1,0
2025-01-06,2025-01-06,tacobell,minneapolis_mn,tacobell_minneapolis_mn,carryout,Carryout,modeled,mixed,false,2.3,111,9.63,254,1069.46,636.21,0.5949,4.21,0.0,36.07,30.88,,1,1,0
2025-01-06,2025-01-06,tacobell,minneapolis_mn,tacobell_minneapolis_mn,delivery,Delivery,modeled,mixed,true,3.0,122,13.35,363,1626.13,699.08,0.4299,4.48,0.0,38.23,28.86,,1,1,0
2025-01-06,2025-01-06,tacobell,minneapolis_mn,tacobell_minneapolis_mn,dine_in,Dine-In,modeled,mixed,false,2.1,137,8.75,283,1195.28,725.23,0.6067,4.22,0.0,38.23,28.99,,1,1,0
2025-01-06,2025-01-06,tacobell,minneapolis_mn,tacobell_minneapolis_mn,drive_thru,Drive-Thru,modeled,mixed,false,2.8,448,12.06,1284,5401.74,3218.43,0.5958,4.21,0.0,36.47,30.87,,1,1,0
2025-01-06,2025-01-06,tacobell,minneapolis_mn,tacobell_minneapolis_mn,pickup_app,Pickup / App,modeled,mixed,true,2.7,221,11.37,609,2513.37,1482.53,0.5899,4.13,0.0,37.05,30.54,,1,1,0
2025-01-06,2025-01-06,tacobell,nashville_tn,tacobell_nashville_tn,carryout,Carryout,modeled,mixed,false,2.3,93,9.2,215,855.62,510.53,0.5967,3.98,0.0,37.02,30.55,,1,1,0
2025-01-06,2025-01-06,tacobell,nashville_tn,tacobell_nashville_tn,delivery,Delivery,modeled,mixed,true,3.0,101,12.98,308,1311.62,567.04,0.4323,4.26,0.0,37.85,29.46,,1,1,0
2025-01-06,2025-01-06,tacobell,nashville_tn,tacobell_nashville_tn,dine_in,Dine-In,modeled,mixed,false,2.1,110,8.67,239,950.36,575.71,0.6058,3.98,0.0,38.83,29.93,,1,1,0
2025-01-06,2025-01-06,tacobell,nashville_tn,tacobell_nashville_tn,drive_thru,Drive-Thru,modeled,mixed,false,2.8,394,11.38,1115,4489.12,2662.85,0.5932,4.03,0.0,38.99,29.52,,1,1,0
2025-01-06,2025-01-06,tacobell,nashville_tn,tacobell_nashville_tn,pickup_app,Pickup / App,modeled,mixed,true,2.7,186,10.6,499,1973.35,1160.61,0.5881,3.95,0.0,39.41,28.04,,1,1,0
2025-01-06,2025-01-06,tacobell,new_york_ny,tacobell_new_york_ny,carryout,Carryout,modeled,mixed,false,2.3,132,11.55,307,1527.44,913.62,0.5981,4.98,0.0,38.39,28.76,,1,1,0
2025-01-06,2025-01-06,tacobell,new_york_ny,tacobell_new_york_ny,delivery,Delivery,modeled,mixed,true,3.0,153,16.17,465,2472.93,1066.51,0.4313,5.32,0.0,39.25,29.09,,1,1,0
2025-01-06,2025-01-06,tacobell,new_york_ny,tacobell_new_york_ny,dine_in,Dine-In,modeled,mixed,false,2.1,165,10.74,354,1768.94,1075.85,0.6082,5.0,0.0,39.58,28.16,,1,1,0
2025-01-06,2025-01-06,tacobell,new_york_ny,tacobell_new_york_ny,drive_thru,Drive-Thru,modeled,mixed,false,2.8,582,14.01,1633,8158.96,4866.37,0.5964,5.0,0.0,37.97,29.82,,1,1,0
2025-01-06,2025-01-06,tacobell,new_york_ny,tacobell_new_york_ny,pickup_app,Pickup / App,modeled,mixed,true,2.7,267,13.56,738,3615.22,2134.85,0.5905,4.9,0.0,38.82,28.66,,1,1,0
2025-01-06,2025-01-06,tacobell,phoenix_az,tacobell_phoenix_az,carryout,Carryout,modeled,mixed,false,2.3,89,9.8,213,876.44,522.78,0.5965,4.11,0.0,37.53,29.73,,1,1,0
2025-01-06,2025-01-06,tacobell,phoenix_az,tacobell_phoenix_az,delivery,Delivery,modeled,mixed,true,3.0,109,12.94,320,1406.02,605.1,0.4304,4.39,0.0,39.76,27.96,,1,1,0
